,Address,Sold,Sold Date,Bed,Bath,Size,Lot Size,HOA,Year Build,Type
45,"175 Carson Falls Ter,Fremont, CA 94539","$798,880","SEP 17, 2021",2,2.5,"1,496",0,$500,—,Condo/Co-op
46,"40812 Ondina,Fremont, CA 94539","$2,900,000","SEP 17, 2021",4,2.5,"3,434","8,100 Sq. Ft.",0,1978,Single Family Residential
47,"41083 Joyce Ave,Fremont, CA 94539","$1,490,000","SEP 17, 2021",3,2,"1,389","4,032 Sq. Ft.",$34,1972,Single Family Residential
48,"38250 ALTA Dr,Fremont, CA 94536-7129","$1,660,000","SEP 17, 2021",3,2,"1,436","8,397 Sq. Ft.",$22,1959,Single Family Residential
49,"4777 Canvasback Cmn,Fremont, CA 94555","$1,400,000","SEP 16, 2021",3,2.5,"1,607","2,826 Sq. Ft.",$85,1988,Single Family Residential
50,"40430 Torenia Cir,Fremont, CA 94538","$1,310,000","SEP 16, 2021",3,2,"1,117","5,773 Sq. Ft.",0,1994,Single Family Residential
51,"33518 Maverick Loop,Fremont, CA 94555","$2,650,000","SEP 16, 2021",4,2.5,"3,075","5,400 Sq. Ft.",$154,2017,Single Family Residential
52,"218 Staircase Falls Cmn,Fremont, CA 94539","$1,609,990","SEP 16, 2021",3,3.5,"2,029","3,355 Sq. Ft.",$288,—,Vacant Land
53,"4717 Doane St,Fremont, CA 94538","$767,500","SEP 16, 2021",2,2.5,"1,308","1,150 Sq. Ft.",$390,1987,Townhouse
54,"43534 Gallegos Ave,Fremont, CA 94539","$3,201,000","SEP 16, 2021",5,5,"4,207",0.39 Acres,0,2002,Single Family Residential
55,"34391 Torrington Ct,Fremont, CA 94555","$1,540,000","SEP 15, 2021",4,2,"1,400","5,577 Sq. Ft.",0,1970,Single Family Residential
56,"45168 Tom Blalock St #302,Fremont, CA 94539","$1,590,000","SEP 15, 2021",3,3.5,"2,392",0,$517,2020,Condo/Co-op
57,"4745 El Rey Ave,Fremont, CA 94536","$1,140,000","SEP 15, 2021",3,2,"1,163","5,378 Sq. Ft.",0,1955,Single Family Residential
58,"827 Yakima Dr,Fremont, CA 94539","$3,650,000","SEP 14, 2021",6,6.5,"5,210",0.31 Acres,0,—,Single Family Residential
59,"151 Wenatchee Cmn,Fremont, CA 94539","$830,000","SEP 14, 2021",3,2,"1,170",0,$310,1987,Condo/Co-op
60,"43034 Via Moraga,Fremont, CA 94539","$2,720,000","SEP 14, 2021",4,2.5,"2,178","10,000 Sq. Ft.",0,1973,Single Family Residential
